id_aero,nom_aero,ville_aero,pays_aero,gmt_aero
334,Anklam Airfield,Anklam,Germany,1
335,Cottbus-Drewitz Airport,Cottbus,Germany,1
336,Kamenz Airport,Kamenz,Germany,1
337,Berlin-Schönefeld Airport,Berlin,Germany,1
338,Dresden Airport,Dresden,Germany,1
339,Erfurt Airport,Erfurt,Germany,1
340,Frankfurt am Main Airport,Frankfurt,Germany,1
341,Münster Osnabrück Airport,Munster,Germany,1
342,Hamburg Airport,Hamburg,Germany,1
343,Berlin-Tempelhof International Airport,Berlin,Germany,1
344,Cologne Bonn Airport,Cologne,Germany,1
345,Düsseldorf Airport,Duesseldorf,Germany,1
346,Munich Airport,Munich,Germany,1
347,Nuremberg Airport,Nuernberg,Germany,1
348,Leipzig/Halle Airport,Leipzig,Germany,1
349,Saarbrücken Airport,Saarbruecken,Germany,1
350,Stuttgart Airport,Stuttgart,Germany,1
351,Berlin-Tegel Airport,Berlin,Germany,1
352,Hannover Airport,Hannover,Germany,1
353,Bremen Airport,Bremen,Germany,1
354,Frankfurt-Egelsbach Airport,Egelsbach,Germany,1
355,Frankfurt-Hahn Airport,Hahn,Germany,1
356,Mannheim-City Airport,Mannheim,Germany,1
357,Allendorf/Eder Airport,Allendorf,Germany,1
358,Worms Airport,Worms,Germany,1
359,Mainz-Finthen Airport,Mainz,Germany,1
360,Eisenach-Kindel Airport,Eisenach,Germany,1
361,Siegerland Airport,Siegerland,Germany,1
362,Hamburg-Finkenwerder Airport,Hamburg,Germany,1
363,Kiel-Holtenau Airport,Kiel,Germany,1
364,Lübeck Blankensee Airport,Luebeck,Germany,1
365,Flugplatz Dahlemer Binz,Dahlemer Binz,Germany,1
366,Meinerzhagen Airport,Meinerzhagen,Germany,1
367,Arnsberg-Menden Airport,Arnsberg,Germany,1
368,Essen Mulheim Airport,Essen,Germany,1
369,Bielefeld Airport,Bielefeld,Germany,1
370,Mönchengladbach Airport,Moenchengladbach,Germany,1
371,Paderborn Lippstadt Airport,Paderborn,Germany,1
372,Stadtlohn-Vreden Airport,Stadtlohn,Germany,1
373,Dortmund Airport,Dortmund,Germany,1
374,Augsburg Airport,Augsburg,Germany,1
375,Biberach a.d. Riß Airfield,Biberach,Germany,1
376,Eggenfelden Airport,Eggenfelden,Germany,1
377,Mindelheim-Mattsies Airfield,Mindelheim,Germany,1
378,Oberpfaffenhofen Airport,Oberpfaffenhofen,Germany,1
379,Straubing Airport,Straubing,Germany,1
380,Vilshofen Airport,Vilshofen,Germany,1
381,Leutkirch-Unterzeil Airport,Leutkirch,Germany,1
382,Friedrichshafen Airport,Friedrichshafen,Germany,1
383,Schwerin Parchim Airport,Parchim,Germany,1
384,Stendal-Borstel Airport,Stendal,Germany,1
385,Aalen-Heidenheim/Elchingen Airport,Aalen-heidenheim,Germany,1
386,Bayreuth Airport,Bayreuth,Germany,1
387,Burg Feuerstein Airport,Burg Feuerstein,Germany,1
388,Hof-Plauen Airport,Hof,Germany,1
389,Haßfurt-Schweinfurt Airport,Hassfurt,Germany,1
390,Koblenz-Winningen Airfield,Koblenz,Germany,1
391,Trier-Föhren Airport,Trier,Germany,1
392,Speyer Airfield,Speyer,Germany,1
393,Zweibrücken Airport,Zweibruecken,Germany,1
394,Donaueschingen-Villingen Airport,Donaueschingen,Germany,1
395,Freiburg i. Br. Airport,Freiburg,Germany,1
