id_aero,nom_aero,ville_aero,gmt_aero
2268,Taichung Ching Chuang Kang Airport,Taichung,8
2270,Tainan Airport,Tainan,8
2271,Hsinchu Air Base,Hsinchu,8
2272,Makung Airport,Makung,8
2273,Chihhang Air Base,Taitung,8
2274,Pingtung North Airport,Pingtung,8
2275,Taipei Songshan Airport,Taipei,8
2276,Taiwan Taoyuan International Airport,Taipei,8
2277,Wang-an Airport,Wang An,8
2278,Hualien Airport,Hualien,8
2279,Narita International Airport,Tokyo,9
2280,Matsumoto Airport,Matsumoto,9
2281,Hyakuri Airport,Ibaraki,9
2282,Minami Torishima Airport,Minami Tori Shima,9
2283,Iwo Jima Airport,Iwojima,9
2284,Nanki Shirahama Airport,Nanki-shirahama,9
2285,Kohnan Airport,Kohnan,9
2286,Tokachi-Obihiro Airport,Obihiro,9
2287,New Chitose Airport,Sapporo,9
2288,Hakodate Airport,Hakodate,9
2289,Chitose Air Base,Chitose,9
2290,Memanbetsu Airport,Memanbetsu,9
2291,Nakashibetsu Airport,Nakashibetsu,9
2293,Tokachi Airport,Tokachi,9
2294,Wakkanai Airport,Wakkanai,9
2295,Iki Airport,Iki,9
2296,Yamaguchi Ube Airport,Yamaguchi,9
2297,Tsushima Airport,Tsushima,9
2298,Monbetsu Airport,Monbetsu,9
2299,Asahikawa Airport,Asahikawa,9
2300,Okushiri Airport,Okushiri,9
2301,Rishiri Airport,Rishiri Island,9
2302,Ashiya Airport,Ashiya,9
2303,Yakushima Airport,Yakushima,9
2304,Fukue Airport,Fukue,9
2305,Fukuoka Airport,Fukuoka,9
2306,New Tanegashima Airport,Tanegashima,9
2307,Kagoshima Airport,Kagoshima,9
2308,Miyazaki Airport,Miyazaki,9
2309,Nyutabaru Airport,Nyutabaru,9
2310,Oita Airport,Oita,9
2311,Kitakyūshū Airport,Kitakyushu,9
2312,Kumamoto Airport,Kumamoto,9
2313,Nagasaki Airport,Nagasaki,9
2314,Kanoya Airport,Kanoya,9
2315,Tsuiki Air Field,Tsuiki,9
2316,Amami Airport,Amami,9
2317,Okierabu Airport,Okierabu,9
2318,Tokunoshima Airport,Tokunoshima,9
2319,Fukui Airport,Fukui,9
2320,Gifu Airport,Gifu,9
2321,Hamamatsu Airport,Hamamatsu,9
2322,Komatsu Airport,Kanazawa,9
2323,Oki Airport,Oki Island,9
2324,Toyama Airport,Toyama,9
2325,Shizuhama Airport,Yaizu,9
2326,Hiroshima Airport,Hiroshima,9
2327,Okayama Airport,Okayama,9
2328,Izumo Airport,Izumo,9
2329,Hofu Airport,Hofu,9
2330,Miho Yonago Airport,Miho,9
2332,Kōchi Ryōma Airport,Kochi,9
2333,Matsuyama Airport,Matsuyama,9
2334,Osaka International Airport,Osaka,9
2335,Tottori Airport,Tottori,9
2336,Tokushima Airport/JMSDF Air Base,Tokushima,9
2337,Takamatsu Airport,Takamatsu,9
2338,Yao Airport,Osaka,9
2339,Ozuki Airport,Ozuki,9
2340,Aomori Airport,Aomori,9
2341,Yamagata Airport,Yamagata,9
2342,Sado Airport,Sado,9
2343,Hachinohe Airport,Hachinoe,9
2344,Hanamaki Airport,Hanamaki,9
2345,Akita Airport,Akita,9
2346,Misawa Air Base,Misawa,9
2347,Sendai Airport,Sendai,9
2348,Matsushima Air Base,Matsushima,9
2350,Atsugi Naval Air Facility,Atsugi,9
2351,Tateyama Airport,Tateyama,9
2352,Hachijojima Airport,Hachijojima,9
2353,Iruma Air Base,Iruma,9
2354,Kisarazu Airport,Kisarazu,9
2355,Shimofusa Airport,Shimofusa,9
2356,Oshima Airport,Oshima,9
2358,Kastner Army Heliport,Zama,9
2359,Tokyo Haneda International Airport,Tokyo,9
2360,Yokota Air Base,Yokota,9
2361,Gwangju Airport,Kwangju,9
2364,Jeon Ju Airport (G-703),Jhunju,9
2365,Yeosu Airport,Yeosu,9
2366,Sokcho Airport,Sokch'o,9
2367,Gangneung Airport (K-18),Kangnung,9
2370,Jeju International Airport,Cheju,9
2371,Jinhae Airbase/Airport (G-813/K-10),Chinhae,9
2372,Gimhae International Airport,Busan,9
2374,Ulsan Airport,Ulsan,9
2375,A 511 Airport,Pyongtaek,9
2376,Seoul Air Base (K-16),Seoul East,9
2377,Osan Air Base,Osan,9
2378,Gimpo International Airport,Seoul,9
2379,Suwon Airport,Suwon,9
2380,Pohang Airport (G-815/K-3),Pohang,9
2381,Daegu Airport,Taegu,9
2383,Yecheon Airbase,Yechon,9
2384,Naha Airport,Okinawa,9
2385,Ie Shima Auxiliary Air Base,Iejima,9
2386,Kadena Air Base,Kadena,9
2387,New Ishigaki Airport,Ishigaki,9
2388,Kumejima Airport,Kumejima,9
2389,Minami-Daito Airport,Minami Daito,9
2390,Miyako Airport,Miyako,9
2391,Kitadaito Airport,Kitadaito,9
2392,Shimojishima Airport,Shimojishima,9
2393,Tarama Airport,Tarama,9
2394,Yoron Airport,Yoron,9
2395,Futenma Marine Corps Air Station,Futema,9
2396,Yonaguni Airport,Yonaguni Jima,9
2397,Ninoy Aquino International Airport,Manila,8
2399,Awang Airport,Cotabato,8
2400,Cagayan De Oro Airport,Ladag,8
2401,Pagadian Airport,Pagadian,8
2402,General Santos International Airport,Romblon,8
2404,Zamboanga International Airport,Zamboanga,8
2405,Loakan Airport,Baguio,8
2406,Daet Airport,Daet,8
2407,Basa Air Base,Floridablanca,8
2408,Lingayen Airport,Lingayen,8
2409,San Jose Airport,San Jose,8
2410,Fernando Air Base,Lipa,8
2411,Mamburao Airport,Mamburao,8
2414,Vigan Airport,Vigan,8
2415,Dr.Juan C. Angara Airport,Baler,8
2421,Bagabag Airport,Bagabag,8
2422,Daniel Z. Romualdez Airport,Tacloban,8
2423,Bacolod-Silay Airport,Bacolod,8
2425,Sibulan Airport,Dumaguete,8
2426,Godofredo P. Ramos Airport,Caticlan,8
2428,Guiuan Airport,Guiuan,8
2429,Iloilo International Airport,Iloilo,8
2430,Kalibo International Airport,Kalibo,8
2433,Puerto Princesa Airport,Puerto Princesa,8
2435,Evelio Javier Airport,San Jose,8
2436,Comodoro Pierrestegui Airport,Concordia,-3
2437,Gualeguaychu Airport,Gualeguaychu,-3
2438,Junin Airport,Junin,-3
2439,General Urquiza Airport,Parana,-3
2440,Islas Malvinas Airport,Rosario,-3
2441,Sauce Viejo Airport,Santa Fe,-3
2442,Jorge Newbery Airpark,Buenos Aires,-3
2443,Ingeniero Ambrosio Taravella Airport,Cordoba,-3
2444,Chamical Airport,Gobernador Gordillo,-3
2445,San Fernando Airport,San Fernando,-3
2446,Mariano Moreno Airport,Jose C. Paz,-3
2447,La Plata Airport,La Plata,-3
2448,Moron Airport,Moron,-3
2449,El Palomar Airport,El Palomar,-3
2450,Chos Malal Airport,Chosmadal,-3
2451,Dr. Arturo H. Illia Airport,Fuerte Gral Roca,-3
2452,El Plumerillo Airport,Mendoza,-3
2453,Comodoro D.R. Salomón Airport,Malargue,-3
2454,Suboficial Ay Santiago Germano Airport,San Rafael,-3
2455,Catamarca Airport,Catamarca,-3
2456,Vicecomodoro Angel D. La Paz Aragonés Airport,Santiago Del Estero,-3
2457,Tinogasta Airport,Tinogasta,-3
2458,Capitan V A Almonacid Airport,La Rioja,-3
2459,Chilecito Airport,Chilecito,-3
2460,Teniente Benjamin Matienzo Airport,Tucuman,-3
2461,Domingo Faustino Sarmiento Airport,San Juan,-3
2462,Area De Material Airport,Rio Cuarto,-3
2463,Villa Dolores Airport,Villa Dolores,-3
2464,La Quiaca Airport,Laboulaye,-3
2465,Marcos Juarez Airport,Marcos Juarez,-3
2466,Villa Reynolds Airport,Villa Reynolds,-3
2467,Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,-3
2468,Corrientes Airport,Corrientes,-3
2469,Resistencia International Airport,Resistencia,-3
2470,Formosa Airport,Formosa,-3
2471,Cataratas Del Iguazú International Airport,Iguazu Falls,-3
2472,Paso De Los Libres Airport,Paso De Los Libres,-3
2473,Monte Caseros Airport,Monte Caseros,-3
2474,Libertador Gral D Jose De San Martin Airport,Posadas,-3
2475,Termal Airport,Presidencia R.s.pena,-3
2476,Martin Miguel De Guemes International Airport,Salta,-3
2477,Gobernador Horacio Guzman International Airport,Jujuy,-3
2478,Orán Airport,Oran,-3
2479,Laboulaye Airport,La Quiaca,-3
2481,El Dorado Airport,El Dorado,-3
2482,Goya Airport,Goya,-3
2483,Oberá Airport,Obera,-3
2484,Reconquista Airport,Reconquista,-3
2485,Curuzu Cuatia Airport,Curuzu Cuatia,-3
2486,El Bolson Airport,El Bolson,-3
2487,General E. Mosconi Airport,Comodoro Rivadavia,-3
2488,Brigadier Antonio Parodi Airport,Esquel,-3
2490,Almirante Marco Andres Zar Airport,Trelew,-3
2491,Gobernador Castello Airport,Viedma,-3
2492,El Tehuelche Airport,Puerto Madryn,-3
2493,Marambio Base,Marambio Base,12
2494,Puerto Deseado Airport,Puerto Deseado,-3
2495,Hermes Quijada International Airport,Rio Grande,-3
2496,Piloto Civil N. Fernández Airport,Rio Gallegos,-3
2497,Malvinas Argentinas Airport,Ushuaia,-3
2498,Capitan D Daniel Vazquez Airport,San Julian,-3
2499,Perito Moreno Airport,Perito Moreno,-3
2500,Santa Cruz Airport,Santa Cruz,-3
2501,Comandante Espora Airport,Bahia Blanca,-3
2502,Brigadier D.H.E. Ruiz Airport,Colonel Suarez,-3
2503,Olavarria Airport,Olavarria,-3
2504,General Pico Airport,General Pico,-3
2505,Tres Arroyos Airport,Tres Arroyos,-3
2506,Bolivar Airport,Bolivar,-3
2508,Ástor Piazzola International Airport,Mar Del Plata,-3
2509,Presidente Peron Airport,Neuquen,-3
2511,Comodoro Pedro Zanni Airport,Pehuajo,-3
2512,Santa Rosa Airport,Santa Rosa,-3
2513,San Carlos De Bariloche Airport,San Carlos De Bariloche,-3
2514,Héroes De Malvinas Airport,Tandil,-3
2515,Villa Gesell Airport,Villa Gesell,-3
2516,Cutral-Co Airport,Cutralco,-3
2517,Aviador C. Campos Airport,San Martin Des Andes,-3
2518,Conceição do Araguaia Airport,Conceicao Do Araguaia,-3
2519,Campo Délio Jardim de Mattos Airport,Rio De Janeiro,-3
2520,Amapá Airport,Amapa,-3
2521,Araraquara Airport,Araracuara,-3
2522,Santa Maria Airport,Aracaju,-3
2524,Piloto Osvaldo Marques Dias Airport,Alta Floresta,-4
2525,Araçatuba Airport,Aracatuba,-3
2526,Val de Cans/Júlio Cezar Ribeiro International Airport,Belem,-3
2527,Comandante Gustavo Kraemer Airport,Bage,-3
2528,Pampulha - Carlos Drummond de Andrade Airport,Belo Horizonte,-3
2529,Bacacheri Airport,Curitiba,-3
2530,Major Brigadeiro Doorgal Borges Airport,Barbacena,-3
2531,Presidente Juscelino Kubistschek International Airport,Brasilia,-3
2532,Bauru Airport,Bauru,-3
2533,Atlas Brasil Cantanhede Airport,Boa Vista,-4
2534,Barra do Garças Airport,Barra Do Garcas,-4
2535,Cascavel Airport,Cascavel,-3
2536,Cachimbo Airport,Itaituba,-3
2537,Tancredo Neves International Airport,Belo Horizonte,-3
2538,Campo Grande Airport,Campo Grande,-4
2539,Serafin Enoss Bertaso Airport,Chapeco,-3
2540,Brig. Lysias Augusto Rodrigues Airport,Carolina,-3
2541,Diomício Freitas Airport,Criciuma,-3
2542,Canoas Air Force Base,Porto Alegre,-3
2543,Bartolomeu Lisandro Airport,Campos,-3
2544,Corumbá International Airport,Corumba,-4
2545,Afonso Pena Airport,Curitiba,-3
2546,Caravelas Airport,Caravelas,-3
2547,Hugo Cantergiani Regional Airport,Caxias Do Sul,-3
2548,Marechal Rondon Airport,Cuiaba,-4
2549,Cruzeiro do Sul Airport,Cruzeiro do Sul,-5
2550,Presidente Prudente Airport,President Prudente,-3
2551,Eduardo Gomes International Airport,Manaus,-4
2552,Jacareacanga Airport,Jacare-acanga,-3
2553,São Pedro da Aldeia Airport,Sao Pedro Da Aldeia,-3
2554,Cataratas International Airport,Foz Do Iguacu,-3
2555,Hercílio Luz International Airport,Florianopolis,-3
2556,Fernando de Noronha Airport,Fernando Do Noronha,-3
2558,Furnas Airport,Alpinopolis,-3
2559,Pinto Martins International Airport,Fortaleza,-3
2560,Rio Galeão – Tom Jobim International Airport,Rio De Janeiro,-3
2561,Guajará-Mirim Airport,Guajara-mirim,-4
2562,Santa Genoveva Airport,Goiania,-3
2563,EMBRAER - Unidade Gavião Peixoto Airport,Macae,-3
2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,-3
2565,Guaratinguetá Airport,Guaratingueta,-3
2566,Altamira Airport,Altamira,-3
2567,Itacoatiara Airport,Itaituba,-4
2568,Itaituba Airport,Itaituba,-3
2569,Bahia - Jorge Amado Airport,Ilheus,-3
2570,Usiminas Airport,Ipatinga,-3
2571,Francisco Vilela do Amaral Airport,Itumbiara,-3
2572,Prefeito Renato Moreira Airport,Imperatriz,-3
2573,Belém/Brigadeiro Protásio de Oliveira Airport,Belem,-3
2574,Francisco de Assis Airport,Juiz De Fora,-3
2575,Presidente Castro Pinto International Airport,Joao Pessoa,-3
2576,Lauro Carneiro de Loyola Airport,Joinville,-3
2577,Presidente João Suassuna Airport,Campina Grande,-3
2578,Viracopos International Airport,Campinas,-3
2579,Lages Airport,Lajes,-3
2580,Lins Airport,Lins,-3
2581,Governador José Richa Airport,Londrina,-3
2582,Bom Jesus da Lapa Airport,Bom Jesus Da Lapa,-3
2583,Lagoa Santa Airport,Lagoa Santa,-3
2584,João Correa da Rocha Airport,Maraba,-3
2585,Monte Dourado Airport,Almeirim,-3
2586,Regional de Maringá - Sílvio Nane Junior Airport,Maringa,-3
2587,Mário Ribeiro Airport,Montes Claros,-3
2589,Ponta Pelada Airport,Manaus,-4
2590,Zumbi dos Palmares Airport,Maceio,-3
2591,Alberto Alcolumbre Airport,Macapa,-3
2592,Dix-Sept Rosado Airport,Mocord,-3
2593,Campo de Marte Airport,Sao Paulo,-3
2594,Manicoré Airport,Manicore,-4
2595,Ministro Victor Konder International Airport,Navegantes,-3
2596,Santo Ângelo Airport,Santo Angelo,-3
2597,Governador Aluízio Alves International Airport,Natal,-3
2598,Oiapoque Airport,Oioiapoque,-3
2599,Salgado Filho Airport,Porto Alegre,-3
2600,Prefeito Doutor João Silva Filho Airport,Parnaiba,-3
2601,Poços de Caldas - Embaixador Walther Moreira Salles Airport,Pocos De Caldas,-3
2602,Lauro Kurtz Airport,Passo Fundo,-3
2603,João Simões Lopes Neto International Airport,Pelotas,-3
2604,Senador Nilo Coelho Airport,Petrolina,-3
2605,Porto Nacional Airport,Porto Nacional,-3
2606,Ponta Porã Airport,Ponta Pora,-4
2607,Governador Jorge Teixeira de Oliveira Airport,Porto Velho,-4
2609,Plácido de Castro Airport,Rio Branco,-5
2610,Guararapes - Gilberto Freyre International Airport,Recife,-3
2612,Santos Dumont Airport,Rio De Janeiro,-3
2613,Leite Lopes Airport,Ribeirao Preto,-3
2614,Santa Cruz Air Force Base,Rio De Janeiro,-3
2615,Professor Urbano Ernesto Stumpf Airport,Sao Jose Dos Campos,-3
2616,Marechal Cunha Machado International Airport,Sao Luis,-3
2618,Congonhas Airport,Sao Paulo,-3
2619,Prof. Eribelto Manoel Reino State Airport,Sao Jose Do Rio Preto,-3
2620,Base Aérea de Santos Airport,Santos,-3
2621,Deputado Luiz Eduardo Magalhães International Airport,Salvador,-3
2622,Trombetas Airport,Oriximina,-3
2623,Senador Petrônio Portela Airport,Teresina,-3
2624,Tefé Airport,Tefe,-4
2625,Tarauacá Airport,Tarauaca,-5
2626,Telêmaco Borba Airport,Telemaco Borba,-3
2627,Tiriós Airport,Obidos Tirios,-3
2628,Tabatinga Airport,Tabatinga,-4
2629,Tucuruí Airport,Tucurui,-3
2630,São Gabriel da Cachoeira Airport,Sao Gabriel,-4
2631,Paulo Afonso Airport,Paulo Alfonso,-3
2632,Rubem Berta Airport,Uruguaiana,-3
2633,Ten. Cel. Aviador César Bombonato Airport,Uberlandia,-3
2635,Mário de Almeida Franco Airport,Uberaba,-3
2636,Major Brigadeiro Trompowsky Airport,Varginha,-3
2637,Brigadeiro Camarão Airport,Vilhena,-4
2638,Eurico de Aguiar Salles Airport,Vitoria,-3
2639,Iauaretê Airport,Iauarete,-4
2640,Campo Fontenelle Airport,Piracununga,-3
2641,Chacalluta Airport,Arica,-4
2642,Balmaceda Airport,Balmaceda,-4
2643,El Bosque Airport,Santiago,-4
2644,Chile Chico Airport,Chile Chico,-4
2645,El Loa Airport,Calama,-4
2646,Gral. Bernardo O´Higgins Airport,Chillan,-4
2647,Pdte. Carlos Ibañez del Campo Airport,Punta Arenas,-4
2648,Teniente Vidal Airport,Coyhaique,-4
2649,Diego Aracena Airport,Iquique,-4
2650,Comodoro Arturo Merino Benítez International Airport,Santiago,-4
2651,Andrés Sabella Gálvez International Airport,Antofagasta,-4
2652,Capitan Fuentes Martinez Airport Airport,Porvenir,-4
